,,RENSEIGNMENTS SUR L'EMPLACEMENT,,,RENSEIGNMENTS SUR LA STRUCTURE,,,,,,,,,,,RENSEIGNMENTS ADMINISTRATIVES,,,,RENSEIGNMENTS DE L'INSPECTION (BCI = Indice de l'état du pont),,,,,,,,,,,,,,,
19 - 523/2,HICKORY DRIVE OVERPASS (WBL).,402,42.986214,-81.580736,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1980,,2012,3,Total=41  (1)=10;(2)=21;(3)=10;,41.9,15,West,MIDDLESEX,Open to traffic,Provincial,04/21/2013,72.8,72.8,,73.2,,72.7,,72.4,,74.3,,94.8,,67.8,
19 - 524/1,SYDENHAM RIVER BRIDGE E.B.L.,402,42.982319,-81.576376,Bridge,Beam/Girder,Trapezoidal Girders,Weathering Steel,1980,,2010,1,Total=40  (1)=40;,40.1,14,West,MIDDLESEX,Open to traffic,Provincial,06/06/2013,71.1,71.1,,72.4,,72,,71.6,,72.5,,80.6,,67.5,
19 - 524/2,SYDENHAM RIVER BRIDGE W.B.L.,402,42.982554,-81.576102,Bridge,Beam/Girder,Trapezoidal Girders,Steel,1980,,2010,1,Total=40  (1)=40;,40.1,11.8,West,MIDDLESEX,Open to traffic,Provincial,06/06/2013,73,73,,73.6,,72.3,,73,,77.1,,89.6,,67.4,
19 - 525/,GLENGYLE DRIVE UNDERPASS,402,42.977099,-81.569496,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1979,,,2,Total=61  (1)=30.5;(2)=30.5;,61.6,9.4,West,MIDDLESEX,Open to traffic,Provincial,05/30/2013,71.1,71.1,,71.7,,72.3,,72.2,,72.5,,91.8,,67.6,
19 - 526/,SCOTCHMERE DRIVE UNDERPASS,402,42.96325,-81.541047,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1979,,,2,Total=62  (1)=31;(2)=31;,61.6,8.8,West,MIDDLESEX,Open to traffic,Provincial,06/06/2013,70.7,70.7,,71.6,,72.1,,72.4,,72.5,,91.3,,67.9,
19 - 527/1,C.N.R. OVERHEAD E.B.L.,402,42.950048,-81.525414,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1979,,2012,4,Total=83  (1)=15;(2)=21;(3)=26;(4)=21;,83,11.8,West,MIDDLESEX,Open to traffic,Provincial,06/13/2013,73.5,73.5,,74,,74.1,,74.1,,74.5,,93.4,,67,
19 - 527/2,CNR OVERHEAD W.B.L.,402,42.949998,-81.524927,Bridge,Beam/Girder,Plate I Girder,Weathering Steel,1979,,2010,4,Total=83  (1)=15;(2)=21;(3)=26;(4)=21;,83,11.8,West,MIDDLESEX,Open to traffic,Provincial,06/13/2013,74.2,74.2,,74.5,,74.2,,74.1,,74.5,,92.7,,67.2,
19 - 528/,OLDE DRIVE UNDERPASS,402,42.944838,-81.518615,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1981,,,2,Total=64  (1)=33;(2)=31;,63.8,8.8,West,MIDDLESEX,Open to traffic,Provincial,05/23/2013,71.7,71.7,,73,,73.5,,73.5,,73.8,,91.6,,67,
19 - 529/1,CPR OVERHEAD (EBL),402,42.939625,-81.488375,Bridge,Beam/Girder,Hollow Slab/Adjacent Box Beams,Prestressed Precast Concrete,1981,,,3,Total=43  (1)=14;(2)=15;(3)=14;,42.6,11.8,West,MIDDLESEX,Open to traffic,Provincial,06/20/2013,72.8,72.8,,73.2,,73.7,,73.5,,74.1,,92.3,,67.6,
19 - 529/2,CPR OVERHEAD (WBL),402,42.939811,-81.4881,Bridge,Beam/Girder,Hollow Slab/Adjacent Box Beams,Prestressed Precast Concrete,1981,,,3,Total=43  (1)=14;(2)=15;(3)=14;,42.6,11.8,West,MIDDLESEX,Open to traffic,Provincial,06/20/2013,74.1,74.1,,74.6,,74.6,,74.4,,74.7,,91.7,,67.5,
19 - 531/,ORIOLE DRIVE UNDERPASS,402,42.92823,-81.470317,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1981,,,2,Total=60  (1)=30;(2)=30;,60.4,9.4,West,MIDDLESEX,Open to traffic,Provincial,05/09/2013,72.5,72.5,,73.4,,73.5,,73.2,,74,,91.7,,67.4,
19 - 532/,C.N.R. SUBWAY,402,42.926244,-81.466851,Bridge,Slab,Solid Slab,Post-Tensioned Cast-In-Place Concrete,1980,,,4,Total=69.3  (1)=10.7;(2)=22.6;(3)=25.3;(4)=10.7;,70.5,5.6,West,MIDDLESEX,Open to traffic,Provincial,05/09/2013,73.1,73.1,,73.9,,73.8,,74.7,,,,,,,
19 - 533/,GLENDON DRIVE UNDERPASS,402,42.922285,-81.462315,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1981,,2012,2,Total=68  (1)=34;(2)=34;,67.7,17.1,West,MIDDLESEX,Open to traffic,Provincial,05/02/2013,73.4,73.4,,73,,73.5,,73.4,,74.1,,90.9,,67.1,
19 - 534/,ADELAIDE ROAD UNDERPASS,402,42.90386,-81.441451,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1981,,2011,2,Total=102  (1)=51;(2)=51;,102.4,12.5,West,MIDDLESEX,Open to traffic,Provincial,05/02/2013,64,64,,64.7,,66.6,,63.2,,64.5,,89.6,,67.2,
19 - 535/1,LONGWOODS ROAD OVERPASS (EBL),402,42.900178,-81.433261,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1978,,2012,1,Total=23  (1)=23;,23.7,16.4,West,MIDDLESEX,Open to traffic,Provincial,05/02/2013,72.7,72.7,,73,,73.3,,73.8,,74.2,,92.9,,67.6,
19 - 535/2,LONGWOODS ROAD OVERPASS (WBL),402,42.900378,-81.432956,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1978,,2012,1,Total=23  (1)=23;,23.7,16.4,West,MIDDLESEX,Open to traffic,Provincial,05/02/2013,73,73,,72.6,,73,,72.7,,73.7,,90,,67,
19 - 536/1,THAMES RIVER BRIDGE EBL,402,42.896189,-81.4239,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1979,,2013,4,Total=132  (1)=33;(2)=33;(3)=33;(4)=33;,131.7,11.2,West,MIDDLESEX,Open to traffic,Provincial,08/14/2013,73.6,73.6,,73.7,,73.9,,72.3,,72.8,,93,,68,
19 - 536/2,THAMES RIVER BRIDGE WBL,402,42.896428,-81.423754,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,1979,,2013,4,Total=132  (1)=33;(2)=33;(3)=33;(4)=33;,131.7,11.2,West,MIDDLESEX,Open to traffic,Provincial,08/14/2013,74.3,74.3,,73.8,,74.3,,72.7,,74.1,,93.7,,68.2,
19 - 537/,MILLER ROAD UNDERPASS,402,42.894767,-81.420069,Bridge,Beam/Girder,Trapezoidal Girders,Post-Tensioned Precast Concrete,1979,,2012,2,Total=68  (1)=34;(2)=34;,69.6,9.8,West,MIDDLESEX,Open to traffic,Provincial,06/07/2013,72.9,72.9,,73.3,,74.3,,72.6,,72.8,,91.7,,67.1,
19 - 538/,SPRINGER ROAD UNDERPASS,402,42.894407,-81.404952,Bridge,Beam/Girder,Trapezoidal Girders,Post-Tensioned Precast Concrete,1978,,2012,2,Total=62  (1)=31;(2)=31;,62.1,10.4,West,MIDDLESEX,Open to traffic,Provincial,06/20/2013,70.9,70.9,,72.9,,73,,71,,72,,89,,66.8,
19 - 539/,CARRIAGE ROAD UNDERPASS,402,42.89845,-81.388134,Bridge,Beam/Girder,Trapezoidal Girders,Post-Tensioned Precast Concrete,1978,,2012,2,Total=72  (1)=36;(2)=36;,73.1,10,West,MIDDLESEX,Open to traffic,Provincial,06/07/2013,69.4,69.4,,69.1,,70.1,,69.9,,66,,89.3,,66.6,
19 - 541/,SHARON DRIVE UNDERPASS,402,42.891441,-81.360029,Bridge,Beam/Girder,Trapezoidal Girders,Post-Tensioned Precast Concrete,1978,,2013,2,Total=94  (1)=47;(2)=47;,95.5,10.4,West,MIDDLESEX,Open to traffic,Provincial,06/06/2013,70.9,70.9,,70.9,,71.7,,70.9,,72.1,,79.4,,67.1,
19 - 542/,WOODHULL ROAD UNDERPASS,402,42.887699,-81.349091,Bridge,Beam/Girder,Trapezoidal Girders,Post-Tensioned Precast Concrete,1978,,2012,2,Total=94  (1)=47;(2)=47;,95.5,10.4,West,MIDDLESEX,Open to traffic,Provincial,06/07/2013,72.6,72.6,,71.7,,72.4,,71,,68.4,,91.9,,67.2,
19 - 543/,WESTDEL BOURNE UNDERPASS,402,42.885345,-81.328867,Bridge,Beam/Girder,Trapezoidal Girders,Post-Tensioned Precast Concrete,1978,,2012,2,Total=62  (1)=31;(2)=31;,62.1,10.4,West,MIDDLESEX,Open to traffic,Provincial,05/16/2013,69.7,69.7,,69.8,,71.6,,68.9,,73.5,,82.5,,67.1,
19 - 544/1,COLONEL TALBOT ROAD UNDERPASS NBL,402,42.892284,-81.292348,Bridge,Beam/Girder,Trapezoidal Girders,Post-Tensioned Precast Concrete,1978,1998,2012,2,Total=70  (1)=35;(2)=35;,71.9,14.9,West,MIDDLESEX,Open to traffic,Provincial,04/18/2013,72.8,72.8,,71.6,,72.3,,71.7,,72.6,,88.7,,66.7,
19 - 544/2,COLONEL TALBOT ROAD UNDERPASS SBL.,402,42.892246,-81.292459,Bridge,Beam/Girder,Trapezoidal Girders,Post-Tensioned Precast Concrete,1978,1998,2012,2,Total=70  (1)=35;(2)=35;,71.9,14.9,West,MIDDLESEX,Open to traffic,Provincial,04/18/2013,73.1,73.1,,72.3,,73.3,,72.5,,72.9,,88.5,,66.3,
19 - 545/,WONDERLAND ROAD UNDERPASS,402,42.901721,-81.270002,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1978,1996,2012,2,Total=75  (1)=37;(2)=38;,75.8,12,West,MIDDLESEX,Open to traffic,Provincial,04/18/2013,72.3,72.3,,71.5,,71.6,,72,,72.2,,91.3,,67.5,
19 - 546/,WHITE OAK ROAD UNDERPASS,402,42.904441,-81.242256,Bridge,Beam/Girder,Trapezoidal Girders,Post-Tensioned Precast Concrete,1978,,2012,2,Total=66  (1)=33;(2)=33;,67.3,9.4,West,MIDDLESEX,Open to traffic,Provincial,05/16/2013,68.8,68.8,,69.4,,70,,70.6,,70.8,,80,,66.2,
19 - 547/,HWY 402/401 INTERCHANGE OVERPASS W-E RAMP,401,42.904281,-81.23384,Bridge,Slab,Rectangular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1979,1998,,4,Total=157  (1)=31;(2)=41;(3)=47;(4)=38;,157.3,13.7,West,MIDDLESEX,Open to traffic,Provincial,06/15/2012,72.6,,72.6,,71.3,,72.8,71.9,,72.6,,90,,67.9,
20 -  46/,NANTICOKE  CREEK BRIDGE,3,42.873097,-80.134882,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1953,2009,,1,Total=15  (1)=15;,17.2,14.8,West,NORFOLK,Open to traffic,Provincial,05/07/2013,75.3,75.3,,75.5,,69.1,,64.2,,64.2,,66.2,,66.3,
20 -  59/,BIG CREEK BRIDGE (DELHI),3,42.856338,-80.503137,Bridge,Slab,Circular Voided Slab,Post-Tensioned Cast-In-Place Concrete,1965,2007,,3,Total=46  (1)=14;(2)=18;(3)=14;,47.6,14,West,NORFOLK,Open to traffic,Provincial,05/14/2013,75.8,75.8,,77.5,,0,,61.4,,63,,64.6,,65.8,
20 -  80/,LYNN RIVER LIFT BRIDGE,6,42.785998,-80.197719,Bridge,Moveable Bridge,Double Leaf Bascule,Steel,1969,2012,,1,Total=25.5  (1)=25.5;,38.3,12.8,West,NORFOLK,Open to traffic,Provincial,04/30/2013,74.2,74.2,,74.8,,76.1,,76.2,,72.6,,73.2,,75.8,
20 - 157/,BIG OTTER CK BR-N. STR.,3,42.848083,-80.733046,Bridge,Beam/Girder,Plate I Girder,Steel,1972,2014,2007,6,Total=282.4  (1)=40.4;(2)=50.4;(3)=50.4;(4)=50.4;(5)=50.4;(6)=40.4;,283.4,10.9,West,NORFOLK,Open to traffic,Provincial,05/31/2013,74.3,74.3,,74.7,,74.4,,85,,85.4,,99,,99.4,
21 -  23/,PIGEON RIVER BRIDGE,7,44.169606,-78.676685,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1950,1988,,1,Total=9  (1)=9;,9.1,11.8,Eastern,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,07/26/2012,68.5,,68.5,,70.8,,72.2,,73.2,,73.5,,72.9,,74.1
21 -  24/,FLEETWOOD CREEK CULVERT,7,44.178399,-78.583517,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1960,2011,,2,Total=12  (1)=6;(2)=6;,13.4,13.4,Eastern,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,06/28/2012,76.6,,76.6,,68.9,,73,,73.7,,73.6,,74.5,,66.6
21 -  25/,TROUT CREEK BRIDGE,7,44.181607,-78.542452,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1965,,,1,Total=11  (1)=11;,11.6,11.6,Eastern,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,09/10/2012,69.5,,69.5,,69.5,,72,,71.8,,72,,71.3,,71.7
21 -  32/,TROUT / CANANVILLE CK BR,7,44.226954,-78.39655,Bridge,Slab,Solid Slab,Post-Tensioned Cast-In-Place Concrete,1967,2003,,4,Total=30  (1)=9;(2)=6;(3)=6;(4)=9;,29.9,15.1,Eastern,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,06/26/2012,74.2,,74.2,,76.9,,81.2,,89.8,,89.7,,64.4,,65.5
21 -  43/,"CPR OVERHEAD, PONTY POOL",35,44.097699,-78.632593,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1956,2014,1992,1,Total=15  (1)=15;,19.8,16.3,Eastern,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,07/26/2012,69.5,,69.5,,70.2,,71,,71,,71.6,,70.4,,68.5
21 - 158/1,"Highway 401/Courtice Road Overpass, Eastbound Lane",401,43.878706,-78.763517,Bridge,Frame,"Rigid Frame, Other",Reinforced Cast-In-Place Concrete,1961,1980,,1,Total=10.4  (1)=10.4;,12.3,18,Central,NORTHUMBERLAND,Open to traffic,Provincial,07/30/2012,72.3,,72.3,,72.7,,74,,70.8,,70,,,,
21 - 158/2,"Highway 401/Courtice Road Overpass, Westbound Lane",401,43.878851,-78.763575,Bridge,Frame,"Rigid Frame, Other",Reinforced Cast-In-Place Concrete,1961,1980,,1,Total=10.4  (1)=10.4;,12.3,20.5,Central,NORTHUMBERLAND,Open to traffic,Provincial,07/30/2012,72.7,,72.7,,73.2,,73.7,,72.7,,66.3,,,,
21 - 159/,Holt Road Underpass,401,43.884019,-78.722644,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1961,1989,,4,Total=63  (1)=12.2;(2)=19.3;(3)=19.3;(4)=12.2;,63.6,10.4,Central,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,07/30/2012,71.7,,71.7,,72.7,,72.4,,70.5,,71,73.1,,,
21 - 160/,Waverly Road Underpass,401,43.894526,-78.689462,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1961,1989,,4,Total=68.4  (1)=12.2;(2)=22;(3)=22;(4)=12.2;,69.9,10.4,Central,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,08/01/2012,72.6,,72.6,,73.7,,74.4,,64.4,72.5,,71,,,
21 - 161/1,BOWMANVILLE CR.BR. WIDENING,401,43.897662,-78.679627,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1951,1982,,1,Total=18.3  (1)=18.3;,20.6,23,Central,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,08/28/2012,71.6,,71.6,,72,,,,,,,,,,
21 - 161/2,BOWMANVILLE CR.BR. WIDENING,401,43.897872,-78.679723,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1951,1982,,1,Total=18.3  (1)=18.3;,21,21,Central,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,08/28/2012,70.8,,70.8,,71.6,,,,,,,,,,
21 - 162/1,Liberty Street Overpass - Eastbound,401,43.898705,-78.675045,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1950,1982,,1,Total=11.3  (1)=11.3;,13.1,24,Central,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,08/01/2012,71.6,,71.6,,74.3,,,,,,,,,,
21 - 162/2,Liberty Street Overpass - Westbound,401,43.898866,-78.675113,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1950,1982,,1,Total=11.3  (1)=11.3;,13.1,24,Central,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,08/01/2012,70.4,,70.4,,73.8,,,,,,,,,,
21 - 163/1,Soper Creek Bridge - Eastbound,401,43.899022,-78.673493,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1952,1982,,1,Total=18.3  (1)=18.3;,20.7,20.6,Central,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,08/01/2012,72.6,,72.6,,73.6,,,,,,,,,,
21 - 163/2,Soper Creek Bridge - Westbound,401,43.899173,-78.673523,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1952,1982,,1,Total=18.3  (1)=18.3;,20.7,21.1,Central,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,08/01/2012,72.6,,72.6,,73.2,,,,,,,,,,
21 - 164/,Hwy 401/Bennett Road Underpass,401,43.90156,-78.643829,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1965,1998,,4,Total=68.4  (1)=12.2;(2)=22;(3)=22;(4)=12.2;,69,10.4,Central,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,08/01/2012,73.1,,73.1,,73.5,,73.8,,73.3,73.7,,70.3,,,
21 - 165/1,"Highway 35/115 Overpass, Eastbound Lane",401,43.902776,-78.625655,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1959,1997,,1,Total=26.2  (1)=26.2;,28.3,20.4,Central,NORTHUMBERLAND,Open to traffic,Provincial,08/01/2012,74,,74,,74.8,,73.6,,73.6,,74,,,,
21 - 165/2,"Highway 35/115 Overpass, Westbound Lane",401,43.902972,-78.625428,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1959,1997,,1,Total=26.2  (1)=26.2;,28.3,17.4,Central,NORTHUMBERLAND,Open to traffic,Provincial,08/01/2012,74.2,,74.2,,74.3,,74.4,,73.3,,73.4,,,,
21 - 172/,NEWCASTLE UNDERPASS,115,43.912345,-78.615391,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1955,2011,,1,Total=19.5  (1)=19.5;,22,17.2,Central,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,10/10/2013,75.6,75.6,,46.4,,46.4,65.5,,52,,53.8,,47.5,,
21 - 187/1,"Highway 35/CPR Overhead, Northbound Lane",35,43.922806,-78.604026,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1954,2011,,1,Total=19.5  (1)=19.5;,21.5,12.3,Central,NORTHUMBERLAND,Open to traffic,Provincial,08/27/2012,76.4,,76.4,,71.3,,71.4,,55.1,,74,,,,
21 - 187/2,"Highway 35/CPR Overhead, SBL",35,43.922806,-78.604208,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1954,2011,,1,Total=19.5  (1)=19.5;,22.6,13.1,Central,NORTHUMBERLAND,Open to traffic,Provincial,08/14/2013,77,77,,55.4,,55.4,59.5,,53.8,,64.7,,,,
21 - 191/1,"Highway 401/Wilmot Creek, Eastbound Lane",401,43.906851,-78.603681,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1958,1998,,1,Total=15.2  (1)=15.2;,17.5,14.3,Central,NORTHUMBERLAND,Open to traffic,Provincial,08/03/2012,71.9,,71.9,,73,,74.7,,73,,74.1,,,,
21 - 191/2,"Highway 401/Wilmot Creek Bridge, Westbound Lane",401,43.906996,-78.603788,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1958,1998,,1,Total=15.2  (1)=15.2;,17.5,14.3,Central,NORTHUMBERLAND,Open to traffic,Provincial,08/03/2012,73.3,,73.3,,74,,75,,73.6,,71.4,,,,
21 - 192/,Cobble Dick Road Underpass,401,43.90624,-78.60778,Bridge,Beam/Girder,Curved Web I Girder (Fluted),Post-Tensioned Precast Concrete,1958,,,3,Total=55.4  (1)=11.6;(2)=32.2;(3)=11.6;,56.4,10.4,Central,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,08/01/2012,72.9,,72.9,,73.9,,73.7,,72.5,,71.8,,,,70
21 - 193/,MILL STREET UNDERPASS,401,43.91063,-78.585679,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1958,,,1,Total=33.5  (1)=33.5;,37,16,Central,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,08/27/2012,69,,69,,69.1,,69.8,,68.7,67.6,,67.3,,,
21 - 195/1,Clarke Township Bridge #12 CPR. O/H - Eastbound Lane,401,43.914413,-78.56684,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1958,1998,,1,Total=15.6  (1)=15.6;,18,16.5,Central,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,08/01/2012,72.9,,72.9,,73.9,,,,,,,,,,
21 - 195/2,Clarke Township Bridge #12 CPR. O/H - Westbound Lane,401,43.914566,-78.566941,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1958,1998,,1,Total=15.6  (1)=15.6;,18,16.5,Central,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,08/01/2012,73.2,,73.2,,73.9,,,,,,,,,,
21 - 196/,MORGAN'S ROAD UNDERPASS,401,43.922428,-78.528354,Bridge,Frame,"Rigid Frame, T Beam",Reinforced Cast-In-Place Concrete,1958,2012,,1,Total=31  (1)=31;,35.4,10.5,Central,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,10/02/2013,70.2,70.2,,60.6,,59.6,68,,72.1,56.2,,66,,,
21 - 197/1,Newtonville Road Overpass - Eastbound Lane,401,43.931026,-78.488813,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1958,1998,,1,Total=18.3  (1)=18.3;,21,17.4,Central,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,08/02/2012,73.4,,73.4,,74.3,,,,,,,,,,
21 - 197/2,Newtonville Road Overpass - Westbound Lane,401,43.931174,-78.488871,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1958,1998,,1,Total=18.3  (1)=18.3;,21,17.4,Central,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,08/02/2012,72.5,,72.5,,73.5,,,,,,,,,,
21 - 198/,Hope NO.1 Underpass,401,43.939917,-78.44984,Bridge,Beam/Girder,Curved Web I Girder (Fluted),Post-Tensioned Precast Concrete,1958,1998,,3,Total=53.6  (1)=10.7;(2)=32.2;(3)=10.7;,54,10.4,Central,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,08/02/2012,70.4,,70.4,,72.7,,72.8,,73.3,,77.1,60.8,,,64.6
21 - 199/,WESLEYVILLE ROAD U/P (HOPE TWP BR NO 5),401,43.953667,-78.387584,Bridge,Frame,"Rigid Frame, Box Girder",Reinforced Cast-In-Place Concrete,1958,2000,,1,Total=31  (1)=31;,31.1,11.2,Eastern,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,08/09/2012,70.6,,70.6,,71,,74.3,,74,,79.5,,80,,
21 - 227/,DEER PARK ROAD U'PASS,401,43.95808,-78.367671,Bridge,Beam/Girder,Other Beam,Prestressed Precast Concrete,1959,2008,,1,Total=31  (1)=31;,33.2,10.4,Eastern,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,12/18/2013,76.1,76.1,,0,76.2,77.9,71.2,,71.2,,71.9,,71.3,,72.8
21 - 228/,COUNTY RD # 2 OVERPASS,401,43.965949,-78.330951,Bridge,Frame,"Rigid Frame, T Beam",Reinforced Cast-In-Place Concrete,1959,2003,2003,1,Total=24  (1)=24;,26.1,36.2,Eastern,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,06/26/2012,73.8,,73.8,,74,,74.4,,74.2,,74.3,,,,65.2
21 - 229/,CRANBERRY ROAD U/PASS,401,43.967368,-78.316194,Bridge,Frame,"Rigid Frame, Box Girder",Reinforced Cast-In-Place Concrete,1959,2008,,1,Total=32  (1)=32;,31.8,10.2,Eastern,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,12/18/2013,77.6,77.6,,0,77.5,77.6,67.5,,67.6,,70.2,,,,70.9
21 - 230/,CHOATE ROAD BRIDGE O'PASS & CNR,401,43.969326,-78.295753,Bridge,Beam/Girder,T Beam,Reinforced Cast-In-Place Concrete,1959,2002,2003,3,Total=58  (1)=17;(2)=24;(3)=17;,58.2,28.8,Eastern,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,06/12/2012,73.8,,73.8,,74.8,,75.5,,75.6,,73.6,,,,73.6
21 - 231/,GANARASKA RIVER BRIDGE,401,43.969465,-78.294097,Bridge,Beam/Girder,Plate I Girder,Steel,1959,2002,2003,3,Total=72  (1)=20;(2)=32;(3)=20;,72.9,28.8,Eastern,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,07/27/2012,74,,74,,74.4,,74.8,,74.8,,73.2,,,,73.2
21 - 232/,COUNTY RD 28 UNDERPASS,401,43.969976,-78.288838,Bridge,Beam/Girder,Box Beam,Reinforced Cast-In-Place Concrete,1958,2004,,3,Total=87  (1)=20;(2)=47;(3)=20;,79.2,20.3,Eastern,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,06/26/2012,76.7,,76.7,,78.3,,79,,79.9,,62.4,,,,62.4
21 - 233/,HAMILTON-HOPE TWP U/PASS BR#1,401,43.972162,-78.27442,Bridge,Beam/Girder,Box Beam,Reinforced Cast-In-Place Concrete,1960,2006,,3,Total=65  (1)=17;(2)=31;(3)=17;,65.1,10.4,Eastern,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,06/04/2012,73.2,,73.2,,73.9,,73.9,,67.4,,68.1,,,,73.5
21 - 242/,THEATRE ROAD O/PASS,401,43.980771,-78.240218,Bridge,Frame,"Rigid Frame, Slab",Reinforced Cast-In-Place Concrete,1959,2007,1997,1,Total=10  (1)=10;,10.4,36.8,Eastern,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,06/04/2012,77.5,,77.5,,75.6,,76.2,,74.7,,74.9,,76.9,,76.9
21 - 243/,BURNHAM STREET / HAMILTON TWP BR #7 U/P,401,43.980084,-78.196251,Bridge,Beam/Girder,CPCI Girder,Prestressed Precast Concrete,2002,,,2,Total=70  (1)=35;(2)=35;,73.5,20.9,Eastern,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,06/04/2012,95.1,,95.1,,96.1,,99.9,,100,,100,,,,46.1
21 - 245/,ONTARIO STREET / HAMILTON TWP BR #9 U/P,401,43.981938,-78.186331,Bridge,Frame,"Rigid Frame, Box Girder",Reinforced Cast-In-Place Concrete,1959,2013,,1,Total=31  (1)=31;,31.1,11.3,Eastern,NORTHUMBERLAND AND DURHAM,Open to traffic,Provincial,06/04/2012,71.9,,71.9,,72,,73.6,,73.7,,74.1,,,,74.1
